"Service","Titre","TL;DR","Sujet","Good/bad/neutral/blocker","Source (Titre : URL)","Score : 0 à 100 (pondération)"
"Dailymotion","Juridiction française","Même en cas de pluralité de défendeurs. Effort sera fait pour chercher une solution amiable avant procès.","Juridiction compétente","Good","http://www.dailymotion.com/legal/terms",70
"Dailymotion","Irresponsabilité de Dailymotion en l'absence de notification","Aucune obligation générale de surveillance. Les seules obligations de DM sont de proposer un système de notification et de retirer le contenu illicite dont ils ont connaissance.","Clauses limitatives de responsabilité","Neutral","http://www.dailymotion.com/legal/terms",60
"Dailymotion","Sanctions civiles et pénales possibles","Sanctions pénales spécifiques au contenu litigieux. Possible condamnation à payer des dommages-intérêts.","Poursuites possibles","Neutral","http://www.dailymotion.com/legal/terms",50
"Dailymotion","Transmission à des tiers de données anonymisées","Données personnelles peuvent être transmises à des tiers pourvu qu'elles soient anonymisées, sauf en cas d'application de loi ou jugement auquel cas il n'est pas nécessaire d'anonymiser les données.","Relations avec les tiers","Neutral","http://www.dailymotion.com/legal/terms",60
"Dailymotion","Utilisateur conserve la propriété sur son contenu","Utilisateur conserve la propriété sur son contenu. Faculté pour Dailymotion de reproduire/représenter le contenu. Protection de la PI améliorée pour les professionnels.","Droit accordés aux utilisateurs (licences)","Good","http://www.dailymotion.com/legal/terms",80
"Dailymotion","Résiliation bilatérale","DM peut mettre fin à notre compte à tout moment et avec préavis si pas de raison manifeste, à tout moment sans préavis si non respect des CGU par l'utilisateur.","Conditions de résiliation","Bad","http://www.dailymotion.com/legal/terms",70
"Dailymotion","Stockage des données pendant un an","Données stockées pendant un an sur des serveurs dont on ne connaît pas la localisation. Collecte déclarée auprès de la CNIL.","Stockage des données (modalités et localisation)","Neutral","http://www.dailymotion.com/legal/terms",60
"Dailymotion","Utilisation de cookies",,"Utilisation des cookies","Neutral","http://www.dailymotion.com/legal/terms",40
"Dailymotion","Utilisation vaut acceptation tacite","Pas de notification lors de la modification des CGU, seulement une ""mention particulière"" sur le site.","Modalités de modification des CGU, de communication, d'acceptation par les utilisateurs","Bad","http://www.dailymotion.com/legal/terms",60
"Dailymotion","Interconnexion de plusieurs CGU","Différents textes régissent l'utilisation de Dailymotion. Tous les lire peut s'avérer long.","Lisibilité et intelligibilité des CGU","Bad","http://www.dailymotion.com/legal/terms",60
"Dailymotion","Interdiction de disposer du contenu","Interdiction d'utiliser le contenu à des fins commerciales, de le copier, altérer, modifier, transmettre, diffuser, etc.","Engagements de la part des utilisateurs","Neutral","http://www.dailymotion.com/legal/terms",50
"Dailymotion","Procédure de retrait de contenu litigieux","Possible d'émettre une notification pour demander le retrait de contenu litigieux (atteinte aux droits d'auteur, contenu odieux). Possibile d'émettre une contre-notitfication pour s'opposer au retrait. Tout notifiant de mauvaise foi s'expose à une amende.","Autres informations","Good","http://www.dailymotion.com/legal/terms",80
