"Service","Titre","TL;DR","Sujet","Good/bad/neutral/blocker","Source (Titre : URL)","Score : 0 à 100 (pondération)"
"Deezer","Droit français","Soumission au droit français. Pas de clause attributive de juridiction.","Juridiction compétente","good","http://www.deezer.com/fr/legal/cgu",60
"Soundcloud","Pas de responsabilité en cas de problème technique","Pas de responsabilité de Deezer en cas de problème technique quelqu'il soit.","Clauses limitatives de responsabilité","neutral","http://www.deezer.com/fr/legal/cgu",20
"Soundcloud",,,"Poursuites possibles",,"http://www.deezer.com/fr/legal/cgu",
"Soundcloud","Aucune communication des données personnelles aux tiers","Données personnelles collectées strictement destinées à Deezer. Conservées à titre de contrat. Aucun transfert vers un autre organisme.","Relations avec les tiers","good","http://www.deezer.com/fr/legal/cgu",50
"Soundcloud","Propriété exclusive de deezer des contenus publiés","Propriété exclusive de Deezer des enregistrements et autres contenus diffusés sur le site. Reproduction ou représentation totale ou partielle interdite.","Droit accordés aux utilisateurs (licences)","neutral","http://www.deezer.com/fr/legal/cgu",50
"Soundcloud","Sur simple demande et immédiate","Résiliation possible à tout moment via le site. Effet immédiat.","Conditions de résiliation","good","http://www.deezer.com/fr/legal/cgu",70
"Soundcloud",,,"Stockage des données (modalités et localisation)",,"http://www.deezer.com/fr/legal/cgu",
"Soundcloud",,,"Utilisation des cookies",,"http://www.deezer.com/fr/legal/cgu",
"Soundcloud",,,"Modalités de modification des CGU, de communication, d'acceptation par les utilisateurs",,"http://www.deezer.com/fr/legal/cgu",
"Soundcloud",,,"Lisibilité et intelligibilité des CGU",,"http://www.deezer.com/fr/legal/cgu",
"Soundcloud",,,"Engagements de la part des utilisateurs",,"http://www.deezer.com/fr/legal/cgu",
"Soundcloud","Très (trop?) courtes CGU","CGU du service gratuit laconiques et trop peu détaillées.","Autres informations","bad","http://www.deezer.com/fr/legal/cgu",20
