"Service","Titre","TL;DR","Sujet","Good/bad/neutral/blocker","Source (Titre : URL)","Score : 0 à 100 (pondération)"
"Fnac","Droit français","Compétence des tribunaux français. ","Juridiction compétente","Good","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",80
"Fnac","Non-responsabilité hors CGU","Pas de responsabilité pour utilisation des produits hors du cadre des CGU. FNAC n'a pas vocation à vendre à des professionnels : absence de responsabilité pour les préjudices résultant d'une activité professionnelle liée aux produits achetés.","Clauses limitatives de responsabilité","Bad","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",70
"Fnac","Utilisateur sujet à poursuites","Risque de poursuite de l'utilisateur pour utilisation non conforme aux CGU ","Poursuites possibles","Bad","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",60
"Fnac","Utilisation large des données-utilisateurs par les tiers","Données personnelles peuvent être transmises à des sociétés partenaires non identifiées. Les données sont conservées par les prestataires tiers même en cas de suppression du compte FNAC.","Relations avec les tiers","Bad","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",60
"Fnac","Licences d'utilisation restrictives","Contenou sous droit d'auteur réservé à un usage privé sous réserves de dispositions plus restrictives. Logiciels soumis à des droits d'utilisations spécifiques. Contenu protégé par des DRM de degrés variables. Pas de rétractation sur l'achat de contenu numérique. Interdiction de revendre, échanger, louer ou transférer le contenu numérique à un tiers.","Droit accordés aux utilisateurs (licences)","Neutral/Bad","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",40
"Fnac","Pas de contrôle sur la suppression des données personnelles","Données transmises à des prestataires tiers sont conservées par ceux-ci même en cas de suppression du compte FNAC.","Conditions de résiliation","Bad","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",50
"Fnac","Système de cryptage des données","Système de cryptage SS. Procédés de brouillage des données de l'utilisateur. Les données peuvent certes être transférés à des tiers, mais ceux-ci sont établis dans des pays dont la législation est reconnue conforme en matière de protection des données par la Commission européenne (ex : Canada).","Stockage des données (modalités et localisation)","Good","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",50
"Fnac","Utilisation extensive de cookies","Désactivables mais les achats et gestion du panier ne sont plus possibles sans (obligation de fait). Utilisation de cookies par les sociétés partenaires, sans contrôle de la FNAC dessus.","Utilisation des cookies","Bad","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",30
"Fnac","Absence de notifications","Pas de notification du changement des CGU : ""La société FNAC peut apporter toutes les modifications qu'elle jugera nécessaire ; nous vous invitons à revenir régulièrement pour vous tenir au courant"" ","Modalités de modification des CGU, de communication, d'acceptation par les utilisateurs","Bad","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",40
"Fnac","Lisibilité et intelligibilité correctes","Articles relativement courts.","Lisibilité et intelligibilité des CGU","Good","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",20
"Fnac","Domiciliation en France","Les fichiers de livres numériques ne sont vendus qu'aux clients sur le territoire français, le client déclare donc être domicilié en France.","Engagements de la part des utilisateurs","Neutral","http://www4.fnac.com/Help/fnaccom-cgv.aspx#bl=foot",20
"Fnac",,,"Autres informations",,,
