"Service","Titre","TL;DR","Sujet","Good/bad/neutral/blocker","Source (Titre : URL)","Score : 0 à 100 (pondération)"
"Google Play","Juridiction américaine","Résolution du litige devant le tribunal de Santa Clara, CA, sauf en cas de disposition impérative du droit du pays de résidence auquel cas ce droit s'applique","Juridiction compétente","Bad","https://play.google.com/intl/fr_fr/about/play-terms.html",70
"Google Play","Responsabilité limitée en cas de contenu défectueux","Si le contenu est défectueux, Google rembourse à hauteur du prix d'achat. Pas de limitation de responsabilité pour aucune des parties en cas de litiges liés à un décès/dommage corporel, fraude, fausse déclaration intentionnelle.","Clauses limitatives de responsabilité","Neutral","https://play.google.com/intl/fr_fr/about/play-terms.html",50
"Google Play","Sanctions pénales ou civiles","Sanctions pénales ou civiles possibles en cas de violation ou de tentative de violation d'un dispositif de sécurité (ex : DRM)","Poursuites possibles","Neutral","https://play.google.com/intl/fr_fr/about/play-terms.html",50
"Google Play","Transmission de données aux commerçants impliqués dans la vente","Données transmises voire contrat conclu avec des tiers à l'occasion de vente dans lesquelles ces tiers sont vendeurs/fournisseurs (ex : magazine, fournisseur du contenu numérique).","Relations avec les tiers","Neutral","https://play.google.com/intl/fr_fr/about/play-terms.html",40
"Google Play","Licence très restrictive","Droit de jouissance non exclusif tant que Google possède les droits sur le contenu. Interdit de vendre, louer, redistribuer, transmettre, céder, etc, le contenu. Possible suppression du contenu si Google cède les droits, sans assurance de préavis raisonnable. Comptabilisation du nombre d'appareils utilisant le contenu. Modification possible du contenu à tout moment.","Droit accordés aux utilisateurs (licences)","Blocker","https://play.google.com/intl/fr_fr/about/play-terms.html",90
"Google Play","Incertitude concernant la suppression des données","""Vous avez la possibilité de consulter et de supprimer les informations stockées (sauf si nous sommes tenus de les conserver, par obligation légale ou à des fins commerciales légitimes et restreintes, notamment dans le cadre de recherches liées à la fraude)""","Conditions de résiliation","Bad","https://play.google.com/intl/fr_fr/about/play-terms.html",70
"Google Play",,,"Stockage des données (modalités et localisation)",,"https://play.google.com/intl/fr_fr/about/play-terms.html",
"Google Play","Utilisation extensive des cookies","Lors de la consultation d'un livre numérique sur Google Play, Google enregistre, à l'aide de cookies, la requête ou demande de page, l'adresse IP, type et langue du navigateur, date et heure de la requête, 5 dernières pages lues.","Utilisation des cookies","Bad","https://play.google.com/intl/fr_fr/about/play-terms.html",60
"Google Play","Validation par l'utilisateur des nouvelles CGU","Si les conditions changent, il nous sera demandé d'accepter les nouvelles conditions préalablement au prochain achat d'un contenu","Modalités de modification des CGU, de communication, d'acceptation par les utilisateurs","Good","https://play.google.com/intl/fr_fr/about/play-terms.html",80
"Google Play","Interconnexion de nombreuses CGU","L'acceptation aux conditions de Google Play implique l'acceptation automatique des CGU de Google et des différents services Google interconnectés : difficile de prendre connaissance de toutes les conditions","Lisibilité et intelligibilité des CGU","Bad","https://play.google.com/intl/fr_fr/about/play-terms.html",70
"Google Play",,,"Engagements de la part des utilisateurs",,"https://play.google.com/intl/fr_fr/about/play-terms.html",
"Google Play",,,"Autres informations",,"https://play.google.com/intl/fr_fr/about/play-terms.html",
