"Service","Titre","TL;DR","Sujet","Good/bad/neutral/blocker","Source (Titre : URL)","Score : 0 à 100 (pondération)"
"Soundcloud","Deutsche Qualität","Juridiction exclusive compétente des tribunaux de Berlin (Allemagne). Exclusion des principes de conflit de lois de droit international privé et de la Convention des NU sur les CISG.","Juridiction compétente","neutral","https://soundcloud.com/terms-of-use",50
"Soundcloud","Pas de responsabilité de Soundcloud","Pas de responsabilité pour les pertes ou dommages causés suite à: 1. l'impossibilité d'accès  au service partielle ou totale, 2. une action intentée contre l'utilisateur par un tiers concernant l'utilisation du service, 3.  un problème causé par le service à l'ordinateur (harware, software, data) de l'utilisateur, 4. une violation de Soundcloud de ses propres CGU","Clauses limitatives de responsabilité","bad","https://soundcloud.com/terms-of-use",50
"Soundcloud",,,"Poursuites possibles",,"https://soundcloud.com/terms-of-use",
"Soundcloud","Pas de communication des informations mais usage interne","Pas de partage d'informations personnelles aux tiers (principe) sauf cookies et: 
1. informations publiées sur le compte et accessible par les autres utilisateurs (sauf e-mail).
2. partage de certaines informations à des partenaires dans le but exclusif de fournir un service à SC (utilisation non-commerciale).
3. partage des infos et contenus publiées sur SC à d'autres applications ou réseaux sociaux (Facebook, Twitter..) si connexion du compte SC par l'utilisateur avec ces derniers.
4. SC se réserve le droit de confier les informations publiées à la justice si celle-ci les réclame.
5. en cas de rachat des actifs de SC les infos de l'utilisateurs sont vendus comme actif de l'entreprise.","Relations avec les tiers","good","https://soundcloud.com/terms-of-use",50
"Soundcloud","Délivrance d'une licence par la publication","La publication d'un contenu audio sur la plateforme entraîne la délivrance à SC et aux autres utilisateurs d'une licence limitée, mondiale, non-exclusive et gratuite pour l'utilisation, la transmission, la copie, la distribution, l'affichage et la performance public des contenus.","Droit accordés aux utilisateurs (licences)","neutral","https://soundcloud.com/terms-of-use",50
"Soundcloud","Old school: Résiliation par courrier postal","Résiliation conditionnée à l'envoi d'un courrier postal le notifiant à SC (suppression du compte et de tous ses contenus). SC se réserve aussi ce droit en cas de violation répétée des CGU. Droit d'annulation de la création du compte par l'utilisateur issu de l'UE dans les 14 jours suivant la création du compte et via courrier postal.","Conditions de résiliation","bad","https://soundcloud.com/terms-of-use",65
"Soundcloud",,,"Stockage des données (modalités et localisation)",,"https://soundcloud.com/terms-of-use",
"Soundcloud","Cookies désactivables ou blocables","Utilisation des cookies. Cookies désactivables ou bloquables.","Utilisation des cookies","neutral","https://soundcloud.com/terms-of-use",30
"Soundcloud","Notification 6 semaines avant les modifications","En cas de modification des CGU, responsabilité de l'utilisateur de consulter la page. Mais SC envoi une notification sur le compte et un courriel sur l'adresse mail de l'utilisateur 6 semaines avant que la modification devienne effective. La non résiliation après le délai de 6 semaines vaut acceptation de la modification par l'utilisateur.","Modalités de modification des CGU, de communication, d'acceptation par les utilisateurs","good","https://soundcloud.com/terms-of-use",30
"Soundcloud","En anglais, seulement","Texte disponible en anglais uniquement. Clair et intelligible. Peu de renvois.","Lisibilité et intelligibilité des CGU","bad","https://soundcloud.com/terms-of-use",30
"Soundcloud","Nombreux engagements de l'utilisateurs à la bonne utilisation des services de SoundCloud","Engagements ""notables""  de l'utilisateur via l'acceptation des CGU à ne pas:
1. copier, télécharger, publier, jouer, exploiter ou communiquer au public un contenu audio d'un autre utilisateur publié sur le service.
2. produire un contenu offensant, abusif, diffamant, raciste, indécent, faisant l'éloge du terrorisme, de la violence ou à caractère sexuel.
3. commettre, encourager, promouvoir aucune sorte d'infractions.
4. ...","Engagements de la part des utilisateurs","neutral","https://soundcloud.com/terms-of-use",40
"Soundcloud",,,"Autres informations",,"https://soundcloud.com/terms-of-use",
