"Service","Titre","TL;DR","Sujet","Good/bad/neutral/blocker","Source (Titre : URL)","Score : 0 à 100 (pondération)"
"SugarSync","La Californie!","Juridiction exclusivement compétente des tribunaux du Comté de Santa Clara, Californie

Application du droit de l'Etat de Californie","Juridiction compétente","bad","https://www.sugarsync.com/terms.html",50
"SugarSync","Clause limitative de responsabilité maximale","Clause limitative de responsabilité maximale selon la loi applicable et sous reserve que la législation de la l'utilisateur le permette.","Clauses limitatives de responsabilité","bad","https://www.sugarsync.com/terms.html",70
"SugarSync",,,"Poursuites possibles",,"https://www.sugarsync.com/terms.html",
"SugarSync","Pas de communication sans accord","Respect de la discrétion et de la confidentialité. Le contenu de l'utilisateur ne sera livré à un tiers que si l'utilisateur en fait la demande ou en cas d'injonction d'une juridiction compétente.","Relations avec les tiers","good","https://www.sugarsync.com/terms.html",70
"SugarSync","Licence d'utilisation non exclusive et non transférable","Licence d'utilisation non exclusive et non transférable","Droit accordés aux utilisateurs (licences)","neutral","https://www.sugarsync.com/terms.html",40
"SugarSync",,,"Conditions de résiliation",,"https://www.sugarsync.com/terms.html",
"SugarSync",,,"Stockage des données (modalités et localisation)",,"https://www.sugarsync.com/terms.html",
"SugarSync",,,"Utilisation des cookies",,"https://www.sugarsync.com/terms.html",
"SugarSync",,,"Modalités de modification des CGU, de communication, d'acceptation par les utilisateurs",,"https://www.sugarsync.com/terms.html",
"SugarSync","English only","Texte disponible en anglais uniquement mais clair.","Lisibilité et intelligibilité des CGU","bad","https://www.sugarsync.com/terms.html",30
"SugarSync",,,"Engagements de la part des utilisateurs",,"https://www.sugarsync.com/terms.html",
"SugarSync",,,"Autres informations",,"https://www.sugarsync.com/terms.html",
