"Service","Titre","TL;DR","Sujet","Good/bad/neutral/blocker","Source (Titre : URL)","Score : 0 à 100 (pondération)"
"Twitter","Juridiction californienne","les Conditions et toute action judiciaire engagée en relation avec ces Conditions sont régies par les lois de l'État de Californie des Etats-Unis d'Amérique sans considération et sans faire application des dispositions légales de votre Etat ou de votre pays de résidence relatives aux conflits de lois","Juridiction compétente","bad","https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1843",50
"Twitter","100$ de clause limitative de responsabilité","-        Clause limitative de responsabilité (100$, autant que la législation le permet)","Clauses limitatives de responsabilité","bad","https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1844",50
"Twitter",,,"Poursuites possibles",,"https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1845",
"Twitter","Commerce de toute donnée non privée","- Commerce de données non privées ou non personnelles","Relations avec les tiers","bad","https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1846",90
"Twitter","Une licence accordée à twitter des contenus publiés","-        L’utilisateur garde ses droits… mais accorde à twitter une licence mondiale, non-exclusive et gratuite sur les contenus publiés","Droit accordés aux utilisateurs (licences)","bad","https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1847",90
"Twitter","Aucune résiliation possible","-        Possible désactivation du compte mais pas de résiliation (seulement si décidée par Twitter)","Conditions de résiliation","blocker","https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1848",90
"Twitter",,,"Stockage des données (modalités et localisation)",,"https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1849",
"Twitter",,"-        Utilisation de cookies","Utilisation des cookies","neutral","https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1850",60
"Twitter","qui ne dit mot consent, pas sans être prévenu","-        Modification : -        CGU susceptible de changer sans préavis + ""Si nous faisons une modification à cette politique qui , à notre seule discrétion, est substantielle, nous vous le notifierons via une mise à jour @Twitter ou un courrier électronique à l'adresse associée avec votre compte. En continuant d'accéder ou en utilisant les Services après que ces changements soient entrés en vigueur, vous manifestez vous accord à être lié par la Politique de Vie Privée amendée.""","Modalités de modification des CGU, de communication, d'acceptation par les utilisateurs","bad","https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1851",40
"Twitter","lisible","plutôt bonnes et claires (assez simples) - traduite en Français mais la version anglaise reste la référence)","Lisibilité et intelligibilité des CGU","good","https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1852",20
"Twitter","Parle qui veut!","-        Pas d’interdiction claire de propos injurieux ou racistes.","Engagements de la part des utilisateurs","bad","https://twitter.com/tos?PHPSESSID=57a411f70b1964a2bc78b82638ba1853",40
"Twitter",,,"Autres informations",,,
