"Service","Titre","TL;DR","Sujet","Good/bad/neutral/blocker","Source (Titre : URL)","Score : 0 à 100 (pondération)"
"Youtube","Juridiction française","Compétence exclusive des tribunaux français. Compétence des juridictions de tous pays pour des mesures conservatoires, d'injonction ou d'urgence.","Juridiction compétente","Good","https://www.youtube.com/t/terms",70
"Youtube","Utilisateur seul responsable de son contenu et comportement en ligne","YT pas responsable de l'activité de l'utilisateur, du non respect aux CGU, et du contenu","Clauses limitatives de responsabilité","Neutral","https://www.youtube.com/t/terms",60
"Youtube","Mesures conservatoires et coopération avec les autorités","Mesures conservatoires peuvent être prises à l'encontre de l'utilisateur. YT peut signaler à toute force de l'ordre l'exploitation sexuelle d'enfants pour amener des poursuites.
","Poursuites possibles","Neutral","https://www.youtube.com/t/terms",60
"Youtube","Application des CGU de Google en la matière","Les dispositions des CGU de Google qui permettent un usage extensif des données utilisateurs par des tiers partenaires commerciaux trouvent à s'appliquer","Relations avec les tiers","Bad","https://www.youtube.com/t/terms",70
"Youtube","Licence large accordée à YT sur le contenu","YT peut supprimer tout contenu contrevenant de façon discrétionnaire. En uploadant, l'utilsateur cède des droits extrêmement larges sur son contenu. Licence accordée cesse lorsque le contenu est retiré.","Droit accordés aux utilisateurs (licences)","Blocker","https://www.youtube.com/t/terms",90
"Youtube","Résiliation bilatérale","Utilisateur peut supprimer son compte à tout moment. YT peut résilier le compte utilisateur pour diverses raisons (judiciaires, géographiques, contractuelles). Certaines clauses des CGU peuvent continuer à s'appliquer après la suppression du compte.","Conditions de résiliation","Bad","https://www.youtube.com/t/terms",60
"Youtube","Stockage de données très nombreuses sur des serveurs dans divers pays","Collecte des données sur le type d'appareil, sur l'activité de l'utilisateur, sa localisation, s'en servent pour actualiser les autres profils google, stockent les données dans de nombreux serveurs à travers le monde, et pour un temps indéfini.","Stockage des données (modalités et localisation)","Bad","https://www.youtube.com/t/terms",60
"Youtube","Utilisation contrainte des cookies","Possibilité d'en désactiver certains, mais le service est susceptible de ne plus fonctionner.","Utilisation des cookies","Neutral","https://www.youtube.com/t/terms",40
"Youtube","Utilisation vaut acceptation tacite","L'utilisation vaut acceptation tacite. Pas de notification lors de la modification des CGU.","Modalités de modification des CGU, de communication, d'acceptation par les utilisateurs","Bad","https://www.youtube.com/t/terms",60
"Youtube","Interconnexion de nombreuses CGU","Langage explicite, mais renvoi à de nombreuses autres CGU","Lisibilité et intelligibilité des CGU","Bad","https://www.youtube.com/t/terms",60
"Youtube","Interdiction de disposer du contenu","Interdiction d'utiliser le contenu à des fins commerciales, de le copier, reproduire, transmettre, diffuser, etc., sans l'accord de YT et des ayant-droits. ","Engagements de la part des utilisateurs","Neutral","https://www.youtube.com/t/terms",50
"Youtube","Procédure de retrait de contenu litigieux","Si demande de suppression pour atteinte au droit d'auteur d'un contenu par un utilisateur est complète et légitime, suppression de la vidéo et avertissement à l'utilisateur. Possibilité de demander à l'ayant droit du contenu litigieux qu'il retire sa revendication pour atteinte aux droits d'auteur. Possibilité de réhabilitation de la vidéo si elle est supprimée à tort.","Autres informations","Good","https://www.youtube.com/t/terms",80
